id_company,ticker,avg_price_2015,avg_price_2016,avg_price_2017,avg_price_2018,avg_price_2019,avg_price_2020,avg_price_2021,avg_price_2022,avg_price_2023,avg_price_2024,avg_price_2025
42,QIMD.QA,4.458759849,4.134285692,4.299304006,4.163770118,3.728142843,2.982317268,2.983943779,3.330397594,2.96599199,2.623914981,2.517752338
43,QISI.QA,7.855826759,5.965099212,5.770450598,5.320942546,5.967482629,6.37939757,7.739112452,8.600305199,8.712340008,8.439801598,8.606448624
45,QNBK.QA,14.18533714,13.31856617,13.59638306,16.07156702,18.94536292,18.26783131,18.5831325,20.80012042,16.15220001,15.54520162,17.49275701
46,QNCD.QA,9.497684058,7.771567606,7.062497595,5.822724132,6.256884162,4.037738953,4.921979914,5.080706815,4.028891998,3.725639675,3.472691584
47,QNNS.QA,9.863897643,8.942738105,6.879248028,6.356720318,6.441621618,5.867397584,7.500542175,9.41669475,9.714587986,11.00992714,10.98621498
48,QOIS.QA,1.476118114,1.099662702,0.877379998,0.662007664,0.559131271,0.689228914,0.92953012,0.759843373,0.742168001,0.798271257,0.673154207
49,SIIS.QA,1.357145666,1.144349209,0.922015996,0.541455938,0.440200773,0.477016063,0.854911647,0.882012047,0.650708002,0.670797572,0.69953271
51,UDCD.QA,2.331468508,1.957123016,1.741216002,1.467344826,1.423671813,1.349558234,1.558983937,1.495698795,1.124360001,1.113396761,1.032901868
52,VFQS.QA,3.082346453,2.199587301,1.699880002,1.697793103,1.400849417,1.173771085,1.622333334,1.654196786,1.774531998,1.778919031,2.272158878
53,WDAM.QA,5.693051186,5.897539682,6.235408001,6.635432941,6.378405429,6.461582316,4.755767064,2.948927706,2.013579996,2.523765176,2.19081776
54,ZHCD.QA,6.896835184,6.195446264,5.81150971,7.131863048,10.72937506,12.07627402,13.9336446,16.22000335,13.86157697,13.58097163,14.43780374
